"unique_id","collision_id","crash_date","crash_time","vehicle_id","state_registration","vehicle_type","vehicle_make","vehicle_model","vehicle_year","travel_direction","vehicle_occupants","driver_sex","driver_license_status","driver_license_jurisdiction","pre_crash","point_of_impact","vehicle_damage","vehicle_damage_1","vehicle_damage_2","vehicle_damage_3","public_property_damage","public_property_damage_type","contributing_factor_1","contributing_factor_2"
"10385780","100201","2012-09-07T00:00:00.000","9:03","1","NY","PASSENGER VEHICLE",,,,,,,,,,,,,,,,,"Unspecified",
"19140702","4213082","2019-09-23T00:00:00.000","8:15","0553ab4d-9500-4cba-8d98-f4d7f89d5856","NY","Station Wagon/Sport Utility Vehicle","TOYT -CAR/SUV",,"2002","North","1","M","Licensed","NY","Going Straight Ahead","Left Front Bumper","Left Front Quarter Panel",,,,"N",,"Driver Inattention/Distraction","Unspecified"
"14887647","3307608","2015-10-02T00:00:00.000","17:18","2","NY","TAXI",,,,,,,,,"Going Straight Ahead",,,,,,,,"Driver Inattention/Distraction",
"14889754","3308693","2015-10-04T00:00:00.000","20:34","1","NY","PASSENGER VEHICLE",,,,,,,,,"Parked",,,,,,,,"Unspecified",
"14400270","297666","2013-04-25T00:00:00.000","21:15","1","NY","PASSENGER VEHICLE",,,,,,,,,,,,,,,,,"Other Vehicular",
"17044639","3434155","2016-05-02T00:00:00.000","17:35","219456","NY","4 dr sedan","MERZ -CAR/SUV",,"2015","East","2","M","Licensed","FL","Merging","Right Front Bumper","Right Front Bumper","Right Front Quarter Panel",,,"N",,"Driver Inattention/Distraction","Unsafe Lane Changing"
"19138701","4229067","2019-10-24T00:00:00.000","13:15","c53b43d9-419a-4ab1-9361-3f2979078d89","NY","Bus","FRHT-TRUCK/BUS",,"2006","East","13","M","Licensed","NY","Parked","Left Front Quarter Panel","Left Front Quarter Panel",,,,"N",,"Unspecified","Unspecified"
"17303317","3503027","2016-08-18T00:00:00.000","12:39","672828","NY","Station Wagon/Sport Utility Vehicle","FORD -CAR/SUV",,"2005","Southwest","2","F","Licensed","NY","Going Straight Ahead","Center Front End","Center Front End","No Damage","No Damage","No Damage","N",,"Driver Inattention/Distraction","Unspecified"
"12254536","196425","2013-07-16T00:00:00.000","11:20","1","NY","PASSENGER VEHICLE",,,,,,,,,,,,,,,,,"Unspecified",
"11804847","2975897","2012-11-26T00:00:00.000","18:12","2","NY","PASSENGER VEHICLE",,,,,,,,,,,,,,,,,"Driver Inattention/Distraction",
"17285715","3487936","2016-07-22T00:00:00.000","15:40","554272","NY","Convertible","VOLK -CAR/SUV",,"2013","South","1","M","Licensed","NY","Stopped in Traffic","Right Rear Bumper","Right Rear Bumper","Center Back End","Left Rear Bumper",,"N",,"Unspecified","Unspecified"
"14809587","3268858","2015-08-01T00:00:00.000","8:17","2","NJ","PASSENGER VEHICLE",,,,,,,,,"Going Straight Ahead",,,,,,,,"Passenger Distraction",
"17307366","3499697","2016-08-13T00:00:00.000","21:05","650962","NY","Sedan","NISS -CAR/SUV",,"2015","West","2","F","Licensed","NY","Going Straight Ahead","Left Side Doors","Left Side Doors","Left Rear Quarter Panel",,,"N",,"Unspecified","Unspecified"
"19140791","4229563","2019-10-21T00:00:00.000","17:55","86a294b4-6672-4a7e-8357-39d6d2eff9f7","PA","Sedan","BMW -CAR/SUV",,"2006","North","2","F","Licensed","PA","Going Straight Ahead","Center Front End","Right Front Bumper","Right Front Quarter Panel","Right Front Bumper",,"N",,"Unspecified","Unspecified"
"19694316","4322767","2020-06-06T00:00:00.000","18:30","fdc195a7-8127-4c00-834d-bac78b0cf88e",,"Bike",,,,"South","1","M","Licensed","NY","Going Straight Ahead","Center Front End","No Damage","No Damage","No Damage","No Damage","N",,"Traffic Control Disregarded","Unspecified"
"11912713","176016","2012-08-11T00:00:00.000","19:36","2","NY","BICYCLE",,,,,,,,,,,,,,,,,"Unspecified",
"17401424","3516125","2016-09-08T00:00:00.000","14:40","764668","NY","Station Wagon/Sport Utility Vehicle","LINC -CAR/SUV",,"2015","West","1","M","Licensed","NY","Stopped in Traffic","Right Rear Quarter Panel","Right Rear Quarter Panel","Right Rear Bumper","No Damage","No Damage","N",,"Unspecified","Unspecified"
"9879462","79561","2013-04-09T00:00:00.000","15:10","1","NY","PASSENGER VEHICLE",,,,,,,,,,,,,,,,,"Unspecified",
"16952374","3412270","2016-04-01T00:00:00.000","15:46","87497","NY","Station Wagon/Sport Utility Vehicle","TOYT -CAR/SUV","TOYT 4RN","2015","South","1","M",,,"Passing","Right Front Quarter Panel","No Damage","No Damage","No Damage","No Damage","N",,"Unsafe Lane Changing","Traffic Control Disregarded"
"19140656","4229538","2019-10-24T00:00:00.000","17:30","70e5262a-bd27-48a6-99a1-1ec659804088","NY","Station Wagon/Sport Utility Vehicle","JEEP -CAR/SUV",,"2018","North","3","F","Licensed","NY","Going Straight Ahead","Left Rear Quarter Panel","Left Rear Quarter Panel",,,,"N",,"Unspecified","Unspecified"
"19139721","4228839","2019-10-24T00:00:00.000","16:00","5bb0b59a-ce74-4a04-9f92-1446ebfe4f46","NC","Sedan","TOYT -CAR/SUV",,"1990","South","1","M","Licensed","NC","Going Straight Ahead","Right Side Doors","Right Side Doors",,,,"N",,"Unspecified","Unspecified"
"8704041","19615","2013-07-16T00:00:00.000","17:10","1","NY","SPORT UTILITY / STATION WAGON",,,,,,,,,,,,,,,,,"Unspecified",
"17222837","3542089","2016-10-17T00:00:00.000","16:00","993368","NY","Pick-up Truck","freig",,"2006","South","0","M","Licensed","NY","Going Straight Ahead","Center Back End","Center Back End",,,,"N",,"Unspecified","Unspecified"
"9882078","328209","2014-05-01T00:00:00.000","21:16","1","FL","PASSENGER VEHICLE",,,,,,,,,"Backing",,,,,,,,"Unspecified",
"14221219","3108421","2014-08-04T00:00:00.000","1:10","2","NY","PASSENGER VEHICLE",,,,,,,,,"Going Straight Ahead",,,,,,,,"Unspecified",
"17277100","3579297","2016-12-13T00:00:00.000","7:55","1193510","NY","Station Wagon/Sport Utility Vehicle","HYUN -CAR/SUV",,"2007","North","0",,,,"Parked","Left Front Bumper","Left Front Bumper","Center Front End","Right Front Bumper",,"N",,"Unspecified","Unspecified"
"11758197","1014563","2014-08-27T00:00:00.000","14:30","2","NY","PASSENGER VEHICLE",,,,,,,,,"Going Straight Ahead",,,,,,,,"Unspecified",
"14888316","3307950","2015-10-02T00:00:00.000","20:55","2","NY","PASSENGER VEHICLE",,,,,,,,,"Changing Lanes",,,,,,,,"Unspecified",
